Des	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
da	Adverb MorphosyntacticCategory 
kommt	FiniteVerb MorphosyntacticCategory Verb 
daß	Pronoun PronounOrDeterminer MorphosyntacticCategory DemonstrativePronoun 
ist	FiniteVerb MorphosyntacticCategory Verb 
die	Pronoun PronounOrDeterminer MorphosyntacticCategory DemonstrativePronoun 
die	Pronoun PronounOrDeterminer MorphosyntacticCategory WHPronoun RelativePronoun 
da	Adverb MorphosyntacticCategory 
tauft	FiniteVerb MorphosyntacticCategory Verb 
in	Preposition Adposition MorphosyntacticCategory 
dem	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
heiligen	AttributiveAdjective MorphosyntacticCategory Adjective 
Geiste	CommonNoun MorphosyntacticCategory Noun 
Wechsler	SecondaryPunctuation Punctuation MorphosyntacticCategory SentenceMedialPunctuation 
	
Eure	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
andern	AttributiveAdjective MorphosyntacticCategory Adjective 
Tages	CommonNoun MorphosyntacticCategory Noun 
rechter	Adverb MorphosyntacticCategory 
stand	FiniteVerb MorphosyntacticCategory Verb 
Johannes	ProperNoun Noun MorphosyntacticCategory 
und	CoordinatingConjunction MorphosyntacticCategory Conjunction 
zwei	Numeral Quantifier MorphosyntacticCategory CardinalNumber 
von	Preposition Adposition MorphosyntacticCategory 
seinen	Determiner Pronoun PronounOrDeterminer WHDeterminer MorphosyntacticCategory RelativeDeterminer 
Jüngern	CommonNoun MorphosyntacticCategory Noun 
	
Da	Adverb MorphosyntacticCategory 
hörten	FiniteVerb MorphosyntacticCategory Verb 
ihnen	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
die	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
zwei	Numeral Quantifier MorphosyntacticCategory CardinalNumber 
Jüngern	CommonNoun MorphosyntacticCategory Noun 
sprachen	FiniteVerb MorphosyntacticCategory Verb 
und	CoordinatingConjunction MorphosyntacticCategory Conjunction 
folgten	FiniteVerb MorphosyntacticCategory Verb 
Jesum	ProperNoun Noun MorphosyntacticCategory 
Wechsler	SecondaryPunctuation Punctuation MorphosyntacticCategory SentenceMedialPunctuation 
	
tue	Adverb MorphosyntacticCategory 
wandte	FiniteVerb MorphosyntacticCategory Verb 
sich	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun ReflexivePronoun 
Jesus	ProperNoun Noun MorphosyntacticCategory 
umme	Particle Unique MorphosyntacticCategory 
und	CoordinatingConjunction MorphosyntacticCategory Conjunction 
sah	FiniteVerb MorphosyntacticCategory Verb 
sie	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
ihm	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
nachfolgen	NonFiniteVerb Verb MorphosyntacticCategory Infinitive 
und	CoordinatingConjunction MorphosyntacticCategory Conjunction 
sprach	FiniteVerb MorphosyntacticCategory Verb 
zu	Preposition Adposition MorphosyntacticCategory 
ihnen	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
was	Pronoun PronounOrDeterminer MorphosyntacticCategory WHPronoun InterrogativePronoun RelativePronoun 
suche	FiniteVerb MorphosyntacticCategory Verb 
ihr	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
Wechsler	SecondaryPunctuation Punctuation MorphosyntacticCategory SentenceMedialPunctuation 
tue	Adverb MorphosyntacticCategory 
sprachen	FiniteVerb MorphosyntacticCategory Verb 
sie	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
ihm	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
Meister	CommonNoun MorphosyntacticCategory Noun 
einst	FiniteVerb MorphosyntacticCategory Verb 
du	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
NULL	MainPunctuation Punctuation MorphosyntacticCategory SentenceFinalPunctuation 
	
tue	Adverb MorphosyntacticCategory 
sprach	FiniteVerb MorphosyntacticCategory Verb 
der	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
zu	Preposition Adposition MorphosyntacticCategory 
ein	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
kommt	FiniteVerb MorphosyntacticCategory Verb 
und	CoordinatingConjunction MorphosyntacticCategory Conjunction 
Siehe	FiniteVerb Verb MorphosyntacticCategory ImperativeVerb 
Wechsler	SecondaryPunctuation Punctuation MorphosyntacticCategory SentenceMedialPunctuation 
tue	Adverb MorphosyntacticCategory 
kamen	FiniteVerb MorphosyntacticCategory Verb 
sie	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
und	CoordinatingConjunction MorphosyntacticCategory Conjunction 
früher	FiniteVerb MorphosyntacticCategory Verb 
wo	SubordinatingConjunction Conjunction MorphosyntacticCategory 
der	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
wohnte	FiniteVerb MorphosyntacticCategory Verb 
sondern	Adverb MorphosyntacticCategory 
sie	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
blieben	FiniteVerb MorphosyntacticCategory Verb 
bei	Preposition Adposition MorphosyntacticCategory 
ihm	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
den	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
Tag	CommonNoun MorphosyntacticCategory Noun 
Es	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
war	FiniteVerb MorphosyntacticCategory Verb 
bei	Preposition Adposition MorphosyntacticCategory 
der	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
einen	AttributiveAdjective MorphosyntacticCategory Adjective 
Stunde	CommonNoun MorphosyntacticCategory Noun 
	
tue	Adverb MorphosyntacticCategory 
ratschlagten	FiniteVerb MorphosyntacticCategory Verb 
seine	Determiner Pronoun PronounOrDeterminer AttributivePronoun MorphosyntacticCategory PossessivePronoun PossessiveDeterminer 
Jüngern	CommonNoun MorphosyntacticCategory Noun 
daß	SubordinatingConjunction Conjunction MorphosyntacticCategory SubordinatingConjunctionWithFiniteClause 
geschrieben	NonFiniteVerb Verb MorphosyntacticCategory Participle 
ist	FiniteVerb MorphosyntacticCategory Verb 
Der	Pronoun PronounOrDeterminer MorphosyntacticCategory DemonstrativePronoun 
hat	CommonNoun MorphosyntacticCategory Noun 
deines	Determiner Pronoun PronounOrDeterminer AttributivePronoun MorphosyntacticCategory PossessivePronoun PossessiveDeterminer 
Hauses	CommonNoun MorphosyntacticCategory Noun 
hat	FiniteVerb MorphosyntacticCategory Verb 
es	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
mir	Pronoun PronounOrDeterminer MorphosyntacticCategory WHPronoun RelativePronoun 
Kephas	NonFiniteVerb Verb MorphosyntacticCategory Participle 
Wechsler	SecondaryPunctuation Punctuation MorphosyntacticCategory SentenceMedialPunctuation 
	
Da	Adverb MorphosyntacticCategory 
antwortete	FiniteVerb MorphosyntacticCategory Verb 
ein	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
Jesus	ProperNoun Noun MorphosyntacticCategory 
und	CoordinatingConjunction MorphosyntacticCategory Conjunction 
sprach	FiniteVerb MorphosyntacticCategory Verb 
recht	FiniteVerb Verb MorphosyntacticCategory ImperativeVerb 
diesen	PronounOrDeterminer Determiner Pronoun AttributivePronoun MorphosyntacticCategory DemonstrativeDeterminer 
Tempel	CommonNoun MorphosyntacticCategory Noun 
und	CoordinatingConjunction MorphosyntacticCategory Conjunction 
hinnen	Preposition Adposition MorphosyntacticCategory 
drein	Numeral Quantifier MorphosyntacticCategory CardinalNumber 
Tagen	CommonNoun MorphosyntacticCategory Noun 
will	AuxiliaryVerb FiniteVerb MorphosyntacticCategory Verb ModalVerb 
ich	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
ihnen	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
weggefahren	NonFiniteVerb Verb MorphosyntacticCategory Infinitive 
Wechsler	SecondaryPunctuation Punctuation MorphosyntacticCategory SentenceMedialPunctuation 
	
tue	Adverb MorphosyntacticCategory 
antworteten	FiniteVerb MorphosyntacticCategory Verb 
ihm	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
die	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
Juden	CommonNoun MorphosyntacticCategory Noun 
und	CoordinatingConjunction MorphosyntacticCategory Conjunction 
sprachen	FiniteVerb MorphosyntacticCategory Verb 
Sechs	Numeral Quantifier MorphosyntacticCategory CardinalNumber 
und	CoordinatingConjunction MorphosyntacticCategory Conjunction 
rein	Numeral Quantifier MorphosyntacticCategory CardinalNumber 
Jahre	CommonNoun MorphosyntacticCategory Noun 
ist	FiniteVerb MorphosyntacticCategory Verb 
Wechsler	SecondaryPunctuation Punctuation MorphosyntacticCategory SentenceMedialPunctuation 
dieser	PronounOrDeterminer Determiner Pronoun AttributivePronoun MorphosyntacticCategory DemonstrativeDeterminer 
Tempel	CommonNoun MorphosyntacticCategory Noun 
und	CoordinatingConjunction MorphosyntacticCategory Conjunction 
in	Preposition Adposition MorphosyntacticCategory 
drein	Numeral Quantifier MorphosyntacticCategory CardinalNumber 
Tagen	CommonNoun MorphosyntacticCategory Noun 
willst	AuxiliaryVerb FiniteVerb MorphosyntacticCategory Verb ModalVerb 
du	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
ihnen	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
jedermann	NonFiniteVerb Verb MorphosyntacticCategory Infinitive 
	
Da	Adverb MorphosyntacticCategory 
der	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
von	Preposition Adposition MorphosyntacticCategory 
Tode	CommonNoun MorphosyntacticCategory Noun 
war	FiniteVerb MorphosyntacticCategory Verb 
Ortestehen	NonFiniteVerb Verb MorphosyntacticCategory Infinitive 
tue	Adverb MorphosyntacticCategory 
ratschlagten	FiniteVerb MorphosyntacticCategory Verb 
seine	Determiner Pronoun PronounOrDeterminer AttributivePronoun MorphosyntacticCategory PossessivePronoun PossessiveDeterminer 
Jünger	CommonNoun MorphosyntacticCategory Noun 
denn	CoordinatingConjunction MorphosyntacticCategory Conjunction 
der	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
dies	Pronoun PronounOrDeterminer MorphosyntacticCategory DemonstrativePronoun 
sprach	FiniteVerb MorphosyntacticCategory Verb 
Wechsler	SecondaryPunctuation Punctuation MorphosyntacticCategory SentenceMedialPunctuation 
und	CoordinatingConjunction MorphosyntacticCategory Conjunction 
sie	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
glaubten	FiniteVerb MorphosyntacticCategory Verb 
der	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
Schrift	CommonNoun MorphosyntacticCategory Noun 
und	CoordinatingConjunction MorphosyntacticCategory Conjunction 
den	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
wurden	CommonNoun MorphosyntacticCategory Noun 
die	Pronoun PronounOrDeterminer MorphosyntacticCategory WHPronoun RelativePronoun 
Jesus	ProperNoun Noun MorphosyntacticCategory 
beweise	NonFiniteVerb Verb MorphosyntacticCategory Participle 
hatte	FiniteVerb MorphosyntacticCategory Verb 
Wechsler	SecondaryPunctuation Punctuation MorphosyntacticCategory SentenceMedialPunctuation 
	
tue	Adverb MorphosyntacticCategory 
der	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
war	FiniteVerb MorphosyntacticCategory Verb 
zu	Preposition Adposition MorphosyntacticCategory 
Jerusalem	ProperNoun Noun MorphosyntacticCategory 
zu	Preposition Adposition MorphosyntacticCategory 
Passah	CommonNoun MorphosyntacticCategory Noun 
in	Preposition Adposition MorphosyntacticCategory 
dem	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
Tage	CommonNoun MorphosyntacticCategory Noun 
der	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
Fest	CommonNoun MorphosyntacticCategory Noun 
Da	Adverb MorphosyntacticCategory 
glaubten	FiniteVerb MorphosyntacticCategory Verb 
viele	Pronoun PronounOrDeterminer MorphosyntacticCategory IndefinitePronoun 
in	Preposition Adposition MorphosyntacticCategory 
seinem	Determiner Pronoun PronounOrDeterminer AttributivePronoun MorphosyntacticCategory PossessivePronoun PossessiveDeterminer 
Namen	CommonNoun MorphosyntacticCategory Noun 
Da	Adverb MorphosyntacticCategory 
sprachen	FiniteVerb MorphosyntacticCategory Verb 
sie	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
die	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
Zeichen	CommonNoun MorphosyntacticCategory Noun 
die	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
der	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
tat	FiniteVerb MorphosyntacticCategory Verb 
	
sondern	Adverb MorphosyntacticCategory 
Jesus	ProperNoun Noun MorphosyntacticCategory 
nicht	Particle Unique MorphosyntacticCategory 
glaubte	FiniteVerb MorphosyntacticCategory Verb 
sich	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun ReflexivePronoun 
selbst	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun ReflexivePronoun 
nicht	Particle Unique MorphosyntacticCategory 
da	Adverb MorphosyntacticCategory 
umme	Adverb MorphosyntacticCategory 
daß	SubordinatingConjunction Conjunction MorphosyntacticCategory SubordinatingConjunctionWithFiniteClause 
der	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
alle	Determiner PronounOrDeterminer Pronoun MorphosyntacticCategory IndefiniteDeterminer 
dies	CommonNoun MorphosyntacticCategory Noun 
bekannte	NonFiniteVerb Verb MorphosyntacticCategory Participle 
	
Da	Adverb MorphosyntacticCategory 
Jesus	ProperNoun Noun MorphosyntacticCategory 
aufgetan	FiniteVerb MorphosyntacticCategory Verb 
seine	Determiner Pronoun PronounOrDeterminer AttributivePronoun MorphosyntacticCategory PossessivePronoun PossessiveDeterminer 
Augen	CommonNoun MorphosyntacticCategory Noun 
und	CoordinatingConjunction MorphosyntacticCategory Conjunction 
sah	FiniteVerb MorphosyntacticCategory Verb 
denn	SubordinatingConjunction Conjunction MorphosyntacticCategory SubordinatingConjunctionWithFiniteClause 
ein	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
groß	AttributiveAdjective MorphosyntacticCategory Adjective 
Kranken	CommonNoun MorphosyntacticCategory Noun 
zu	Preposition Adposition MorphosyntacticCategory 
ihm	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
kam	FiniteVerb MorphosyntacticCategory Verb 
Da	Adverb MorphosyntacticCategory 
sprach	FiniteVerb MorphosyntacticCategory Verb 
der	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
zu	Preposition Adposition MorphosyntacticCategory 
Philippus	ProperNoun Noun MorphosyntacticCategory 
wo	Pronoun PronounOrDeterminer MorphosyntacticCategory WHPronoun InterrogativePronoun RelativePronoun 
umgürtet	Preposition Adposition MorphosyntacticCategory 
rief	FiniteVerb MorphosyntacticCategory Verb 
wir	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
Brot	CommonNoun MorphosyntacticCategory Noun 
daß	Pronoun PronounOrDeterminer MorphosyntacticCategory WHPronoun RelativePronoun 
dieser	Pronoun PronounOrDeterminer MorphosyntacticCategory DemonstrativePronoun 
wozu	FiniteVerb MorphosyntacticCategory Verb 
	
sondern	Adverb MorphosyntacticCategory 
daß	Pronoun PronounOrDeterminer MorphosyntacticCategory DemonstrativePronoun 
sprach	FiniteVerb MorphosyntacticCategory Verb 
ihnen	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
zu	Unique MorphosyntacticCategory Particle 
beieinander	NonFiniteVerb Verb MorphosyntacticCategory Participle 
denn	SubordinatingConjunction Conjunction MorphosyntacticCategory SubordinatingConjunctionWithFiniteClause 
der	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
wußte	FiniteVerb MorphosyntacticCategory Verb 
recht	Adverb MorphosyntacticCategory 
was	Pronoun PronounOrDeterminer MorphosyntacticCategory WHPronoun RelativePronoun 
der	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
wollte	AuxiliaryVerb FiniteVerb MorphosyntacticCategory Verb ModalVerb 
tun	NonFiniteVerb Verb MorphosyntacticCategory Infinitive 
	
Da	Adverb MorphosyntacticCategory 
antwortete	FiniteVerb MorphosyntacticCategory Verb 
ihm	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
Philipus	ProperNoun Noun MorphosyntacticCategory 
und	CoordinatingConjunction MorphosyntacticCategory Conjunction 
sprach	FiniteVerb MorphosyntacticCategory Verb 
hundert	Numeral Quantifier MorphosyntacticCategory CardinalNumber 
hinging	CommonNoun MorphosyntacticCategory Noun 
Bruder	CommonNoun MorphosyntacticCategory Noun 
nicht	Particle Unique MorphosyntacticCategory 
müde	FiniteVerb MorphosyntacticCategory Verb 
ein	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
nicht	Particle Unique MorphosyntacticCategory 
daß	SubordinatingConjunction Conjunction MorphosyntacticCategory SubordinatingConjunctionWithFiniteClause 
da	Adverb MorphosyntacticCategory 
ein	Determiner PronounOrDeterminer Pronoun MorphosyntacticCategory IndefiniteDeterminer 
jeder	Pronoun PronounOrDeterminer MorphosyntacticCategory IndefinitePronoun 
ein	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
kleine	CommonNoun MorphosyntacticCategory Noun 
nehme	FiniteVerb MorphosyntacticCategory Verb 
	
Da	Adverb MorphosyntacticCategory 
sprach	FiniteVerb MorphosyntacticCategory Verb 
zu	Preposition Adposition MorphosyntacticCategory 
ihm	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
ein	Pronoun PronounOrDeterminer MorphosyntacticCategory IndefinitePronoun 
von	Preposition Adposition MorphosyntacticCategory 
seinen	Determiner Pronoun PronounOrDeterminer AttributivePronoun MorphosyntacticCategory PossessivePronoun PossessiveDeterminer 
Jüngern	CommonNoun MorphosyntacticCategory Noun 
Andreas	ProperNoun Noun MorphosyntacticCategory 
die	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
Bruder	CommonNoun MorphosyntacticCategory Noun 
zweien	ProperNoun Noun MorphosyntacticCategory 
zweien	ProperNoun Noun MorphosyntacticCategory 
	
hernach	Adverb MorphosyntacticCategory 
ist	FiniteVerb MorphosyntacticCategory Verb 
ein	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
Kind	CommonNoun MorphosyntacticCategory Noun 
daß	Pronoun PronounOrDeterminer MorphosyntacticCategory DemonstrativePronoun 
hat	FiniteVerb MorphosyntacticCategory Verb 
Fib	Numeral Quantifier MorphosyntacticCategory CardinalNumber 
ersterbe	CommonNoun MorphosyntacticCategory Noun 
Brot	CommonNoun MorphosyntacticCategory Noun 
und	CoordinatingConjunction MorphosyntacticCategory Conjunction 
zwei	Numeral Quantifier MorphosyntacticCategory CardinalNumber 
Fische	CommonNoun MorphosyntacticCategory Noun 
sondern	Adverb MorphosyntacticCategory 
was	Pronoun PronounOrDeterminer MorphosyntacticCategory WHPronoun InterrogativePronoun RelativePronoun 
haltet	FiniteVerb MorphosyntacticCategory Verb 
die	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
unter	Preposition Adposition MorphosyntacticCategory 
also	SubordinatingConjunction Conjunction MorphosyntacticCategory SubordinatingConjunctionWithInfinite 
viele	Pronoun PronounOrDeterminer MorphosyntacticCategory IndefinitePronoun 
	
Da	Adverb MorphosyntacticCategory 
sprach	FiniteVerb MorphosyntacticCategory Verb 
Jesus	ProperNoun Noun MorphosyntacticCategory 
zu	Preposition Adposition MorphosyntacticCategory 
ein	PronounOrDeterminer Pronoun MorphosyntacticCategory PersReflPronoun PersonalPronoun 
laßt	FiniteVerb MorphosyntacticCategory Verb 
die	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
zweier	CommonNoun MorphosyntacticCategory Noun 
niedersteigen	NonFiniteVerb Verb MorphosyntacticCategory Infinitive 
und	CoordinatingConjunction MorphosyntacticCategory Conjunction 
da	Adverb MorphosyntacticCategory 
war	FiniteVerb MorphosyntacticCategory Verb 
viele	Determiner PronounOrDeterminer Pronoun MorphosyntacticCategory IndefiniteDeterminer 
wohl	CommonNoun MorphosyntacticCategory Noun 
Orte	Preposition Adposition MorphosyntacticCategory 
der	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
Ort	CommonNoun MorphosyntacticCategory Noun 
sondern	Adverb MorphosyntacticCategory 
die	Determiner PronounOrDeterminer MorphosyntacticCategory Article 
